likes,main_category,no_faces,avg_age,when,adult_score,color_fg,color_bg,woman,person,clothing,girl,sky,outdoor,art,fashion,food,design,tree,ground,vacation,street,indoor,winter,posing,city
325193,people,1,22.0,242,0.18552811443805695,Pink,White,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
322468,people,0,0,245,0.6606225967407227,Pink,Pink,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
310931,outdoor,0,0,247,0.02167666144669056,Grey,Grey,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
395925,others,1,24.0,247,0.016030162572860718,White,White,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
373242,people,1,25.0,250,0.008357587270438671,White,Black,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279814,others,1,24.0,254,0.00509021058678627,White,White,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
214179,None,0,0,255,0.009676224552094936,Grey,Blue,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
148234,abstract,0,0,258,0.004851872567087412,Purple,Orange,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
190253,people,0,0,260,0.039095986634492874,Red,White,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
339856,people,1,22.0,262,0.0242068562656641,Black,Black,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
277385,others,1,27.0,262,0.004849122371524572,Black,Black,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
226312,others,0,0,263,0.13711513578891754,Pink,White,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
309407,others,0,0,266,0.4224596321582794,Orange,White,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292836,others,1,24.0,270,0.018068045377731323,White,Black,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
261461,None,0,0,270,0.006191248074173927,White,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
224434,others,1,22.0,273,0.5228782892227173,Blue,Black,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262000,people,1,27.0,273,0.02048085629940033,Pink,White,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
266707,people,1,25.0,274,0.05208299681544304,White,White,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265045,others,0,0,276,0.24161210656166077,White,Grey,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
278925,others,1,27.0,277,0.003285297891125083,Red,Pink,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
253267,people,7,29.714285714285715,291,0.07826725393533707,White,Black,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
264316,others,0,0,294,0.006684456951916218,Grey,Grey,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
249920,people,1,23.0,296,0.04725828021764755,White,White,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
189228,abstract,0,0,297,0.000696480565238744,White,Pink,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
251318,others,0,0,300,0.015193917788565159,Brown,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
207064,abstract,0,0,300,0.41755107045173645,White,Grey,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234313,others,1,33.0,300,0.3237110674381256,White,Grey,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
226088,others,1,22.0,300,0.08056128770112991,Red,Black,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255457,others,1,22.0,303,0.022791948169469833,Pink,Pink,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
168465,others,0,0,305,0.019138934090733528,White,Black,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
201293,people,1,25.0,305,0.0031762311700731516,Pink,White,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
148987,food,0,0,308,0.02072872221469879,Black,Black,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
164433,others,1,22.0,308,0.007023452315479517,Pink,Pink,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
147591,abstract,0,0,308,0.04044437035918236,Grey,Grey,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
228160,others,0,0,310,0.051133546978235245,Grey,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
232930,None,0,0,334,0.003702391404658556,Green,Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181666,abstract,0,0,335,0.07774294167757034,Yellow,Yellow,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
146832,others,0,0,340,0.04296218603849411,Blue,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
258336,others,1,24.0,341,0.010905584320425987,White,White,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
168477,abstract,1,23.0,346,0.026988310739398003,White,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
209434,None,0,0,347,0.22951702773571014,White,White,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
245398,people,0,0,350,0.008387242443859577,Pink,Pink,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
311685,people,1,23.0,354,0.005218849051743746,White,White,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184123,others,0,0,354,0.1391858458518982,Black,White,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314723,people,2,24.5,354,0.003783648833632469,White,White,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
243112,people,1,32.0,360,0.0032628339249640703,Pink,White,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241804,others,0,0,365,0.007851683534681797,Yellow,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
245839,people,3,28.0,374,0.009069082327187061,Pink,Black,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
161398,None,0,0,374,0.006891144439578056,White,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326846,others,1,32.0,377,0.003944401163607836,Grey,Grey,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
421728,people,2,49.5,404,0.006080364342778921,White,White,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
231701,None,0,0,417,0.16629771888256073,Black,Green,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
300800,others,1,26.0,432,0.00270517123863101,White,White,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1
174247,people,0,0,435,0.13679951429367065,Pink,Pink,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
206157,abstract,0,0,438,0.011728208512067795,White,Grey,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
203058,others,1,23.0,440,0.011816829442977905,Black,White,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175800,others,0,0,448,0.24918706715106964,Grey,Grey,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
230102,others,1,31.0,448,0.0032744798809289932,Grey,Grey,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
175932,others,0,0,457,0.0065490626730024815,White,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138703,others,0,0,458,0.038259755820035934,Black,Black,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
203844,people,0,0,458,0.03925540670752525,White,White,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
201167,outdoor,1,30.0,460,0.007307293359190226,Grey,White,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
155556,building,0,0,461,0.004050096496939659,Grey,White,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
170175,people,1,25.0,462,0.019477711990475655,Pink,Pink,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
195464,others,0,0,465,0.01244366355240345,Black,White,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
262438,others,0,0,479,0.04571736603975296,Grey,Black,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
275990,people,1,26.0,487,0.031796205788850784,Orange,Black,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
208256,abstract,1,30.0,556,0.007404020056128502,White,White,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
253168,people,1,28.0,558,0.08750196546316147,Purple,Grey,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
274486,None,0,0,564,0.0021216433960944414,Brown,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
268753,indoor,1,22.0,566,0.0070318435318768024,White,White,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
156050,others,1,25.0,575,0.004338135942816734,Black,Green,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
220020,people,1,24.0,579,0.04679597541689873,White,White,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
213281,others,1,22.0,586,0.013318666256964207,Black,White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
165512,people,1,22.0,590,0.01919710449874401,Yellow,Yellow,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161626,people,2,22.5,604,0.002382736885920167,Pink,White,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
113107,abstract,2,26.0,618,0.06981606036424637,White,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218125,people,1,29.0,622,0.009690742008388042,Black,Grey,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
